name,career,last10,lwin,wins,places,tj,jh,twelveMonth,season,track,distance,trackDistance,firm,good,soft,heavy,wet,hclass,roi,is_winner
1. Double Spice,0.6363636363636364,0.25,0.024390243902439025,0.23,0.64,0.0,0.0,0.6,0.3333333333333333,0.5,0.6,1.0,0.0,0.7058823529411765,0.4,0.0,0.4,1.0,0.13,0
2. Glasgow Girl,0.39473684210526316,0.17073170731707318,0.05555555555555555,0.21,0.39,0.0,0.0,0.14285714285714285,0.0,0.16666666666666666,0.0,0.0,0.0,0.4,0.4166666666666667,0.0,0.38461538461538464,0.2,0.43,0
3. Reign Of Fire,0.39285714285714285,0.2,0.08333333333333334,0.14,0.39,0.13,0.38461538461538464,0.2857142857142857,0.2857142857142857,0.18181818181818182,0.0,0.0,0.0,0.3684210526315789,0.6,0.25,0.4444444444444444,0.6666666666666666,-0.57,0
4. Keytrade,0.3684210526315789,0.3333333333333333,0.5,0.16,0.37,0.08,0.5,0.6,0.5,0.2,0.16666666666666666,0.0,0.0,0.4117647058823529,0.0,0.0,0.0,0.0,0.47,1
5. Jedi Mind,0.25,0.15625,0.01492537313432836,0.19,0.25,0.14,0.2,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.2,0.2,1.0,0.3333333333333333,0.25,-0.33,0
6. So Likable,0.3333333333333333,0.3103448275862069,0.5,0.17,0.33,0.31,0.8,0.375,1.0,0.0,0.375,0.0,0.0,0.4,0.0,0.0,0.0,0.0,-0.58,0
7. Success Play,0.38095238095238093,0.25,0.07142857142857144,0.14,0.38,0.09,1.0,0.3076923076923077,0.3333333333333333,0.2857142857142857,0.2857142857142857,0.0,0.0,0.4166666666666667,0.375,0.0,0.3333333333333333,0.5,-0.6,0
8. Requisition,0.38181818181818183,0.2571428571428571,0.25,0.13,0.38,0.13,0.4411764705882353,0.5714285714285714,0.6666666666666666,0.4074074074074074,0.0,0.0,0.0,0.45,0.15384615384615385,0.5,0.2,0.5625,0.17,0
9. Firesale,0.23684210526315788,0.1935483870967742,0.025641025641025644,0.13,0.24,0.06,0.0,0.2222222222222222,0.0,0.26666666666666666,0.2,0.0,0.0,0.23333333333333334,0.25,0.0,0.25,0.3333333333333333,0.46,0
10. Fred Dag,0.4,0.1875,0.05882352941176471,0.13,0.4,0.16,0.4074074074074074,0.18181818181818182,0.0,0.26666666666666666,0.25,0.0,0.0,0.38235294117647056,0.4,1.0,0.5,0.0,-0.6,0
11. Sweet Tea,0.5555555555555556,0.2692307692307692,0.06666666666666667,0.11,0.56,0.08,0.6,0.5555555555555556,1.0,0.6666666666666666,0.5,1.0,0.0,0.5714285714285714,0.5,0.0,0.5,0.0,-0.78,1
12. Dadirra,0.4117647058823529,0.2647058823529412,0.038461538461538464,0.06,0.41,0.03,0.8,0.5,0.75,0.3333333333333333,0.0,0.0,0.0,0.42857142857142855,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,-0.71,1
13. Hot Blooded,0.3333333333333333,0.2692307692307692,0.25,0.11,0.33,0.08,0.5,0.38461538461538464,0.3333333333333333,0.25,0.0,0.0,0.0,0.36363636363636365,0.2857142857142857,0.0,0.2857142857142857,0.0,0.39,0
14. Sea Waif,0.42424242424242425,0.20454545454545456,0.020833333333333336,0.09,0.42,0.1,0.5,0.45454545454545453,0.0,0.2,0.8571428571428571,1.0,0.0,0.46153846153846156,0.2857142857142857,0.0,0.2857142857142857,0.0,-0.5,0
15. Cartanera,0.3333333333333333,0.2608695652173913,0.045454545454545456,0.17,0.33,0.2,0.5,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.3333333333333333,0.5,0.0,0.3333333333333333,0.0,-0.48,1
16. Western Rhythm,0.3333333333333333,0.23333333333333334,0.25,0.1,0.33,0.23,1.0,0.25,0.3333333333333333,0.2222222222222222,0.2857142857142857,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,-0.65,0
17e. Verdandi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
18e. Ninetyone Dwyer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1. Position Of Power,0.40476190476190477,0.1702127659574468,0.125,0.19,0.4,0.2,0.25,0.25,0.2857142857142857,0.21052631578947367,0.5,0.0,0.0,0.32,0.5625,0.0,0.5294117647058824,0.5,0.15,0
2. Pat's Got Sass,0.4117647058823529,0.21212121212121213,0.034482758620689655,0.18,0.41,0.0,0.0,0.2727272727272727,0.0,0.46153846153846156,0.0,0.0,0.0,0.4666666666666667,0.0,0.0,0.0,0.0,0.11,1
3. Our Norman,0.3888888888888889,0.29411764705882354,0.07142857142857144,0.22,0.39,0.04,0.3333333333333333,0.46153846153846156,0.5,0.3333333333333333,0.0,0.0,0.0,0.4166666666666667,0.25,0.5,0.3333333333333333,0.0,2.17,0
4. Constant Dreaming,0.6,0.25806451612903225,0.02857142857142857,0.3,0.6,0.14,0.0,0.6,0.0,0.6,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.36,0
5. Stellar Vista,0.7692307692307693,0.35,0.09090909090909091,0.31,0.77,0.2,0.8,0.6666666666666666,1.0,0.8,0.0,0.0,0.0,0.9,0.3333333333333333,0.0,0.3333333333333333,0.0,0.54,0
6. Strike Now,0.7272727272727273,0.375,0.030303030303030304,0.27,0.73,0.27,0.0,0.7272727272727273,0.5,0.6666666666666666,0.6,0.6666666666666666,0.0,0.7777777777777778,0.5,0.0,0.5,0.0,-0.4,0
7. Stylax,0.4666666666666667,0.24324324324324326,0.5,0.27,0.47,0.12,0.5714285714285714,0.5,0.75,0.6666666666666666,1.0,1.0,0.0,0.5714285714285714,0.25,0.5,0.375,0.0,0.18,0
8. Megazone,0.38,0.1956521739130435,0.16666666666666669,0.1,0.38,0.15,0.0,0.25,0.4,0.4090909090909091,0.45454545454545453,0.75,0.0,0.35,0.5,0.5,0.5,0.2777777777777778,-0.18,1
9. The Great One,0.391304347826087,0.16666666666666666,0.022222222222222223,0.22,0.39,0.14,0.16666666666666666,0.2222222222222222,0.0,0.25,0.2857142857142857,0.0,0.0,0.5294117647058824,0.0,0.0,0.0,0.2,1.68,0
10. Castillo Del Lago,0.5217391304347826,0.23076923076923078,0.01818181818181818,0.09,0.52,0.13,0.0,0.4444444444444444,0.75,0.3333333333333333,0.5,0.25,0.0,0.375,0.8571428571428571,0.0,0.8571428571428571,0.4,-0.61,1
11. Find Your Man,0.5238095238095238,0.30303030303030304,0.5,0.14,0.52,0.14,1.0,0.35714285714285715,0.3333333333333333,1.0,0.0,0.0,0.0,0.46153846153846156,0.6666666666666666,0.5,0.625,0.0,-0.43,0
12. Ground Braker,0.30434782608695654,0.25925925925925924,0.03571428571428572,0.17,0.3,0.18,0.0,0.26666666666666666,0.0,0.25,0.5,0.0,0.0,0.2777777777777778,0.6666666666666666,0.0,0.4,0.0,-0.29,0
13. Roch Legacy,0.5384615384615384,0.2571428571428571,0.026315789473684213,0.15,0.54,0.16,0.5,0.5555555555555556,0.0,0.2,1.0,0.0,0.0,0.5384615384615384,0.0,0.0,0.0,0.0,-0.04,1
14. See Ya Champ,0.15384615384615385,0.17647058823529413,0.07142857142857144,0.04,0.15,0.0,0.5,0.1,0.5,0.3333333333333333,0.5,0.5,0.0,0.15384615384615385,0.18181818181818182,0.0,0.15384615384615385,0.0,0.96,0
1. Oly's Choice,1.0,0.7,0.5,0.57,1.0,0.21,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.75,0
2. Magic To Exceed,0.5555555555555556,0.25806451612903225,0.045454545454545456,0.22,0.56,0.17,0.3333333333333333,0.42857142857142855,0.0,0.3333333333333333,0.75,0.0,0.0,0.5,1.0,0.0,1.0,0.5,0.17,1
3. Rockin' Rupert,0.5555555555555556,0.23333333333333334,0.022727272727272728,0.22,0.56,0.09,0.5,0.5555555555555556,0.5,0.5,0.5,0.5,0.0,0.5555555555555556,0.0,0.0,0.0,0.0,-0.58,0
4. Colossal,0.6666666666666666,0.2857142857142857,0.038461538461538464,0.33,0.67,0.1,0.0,0.6666666666666666,0.0,0.0,0.75,0.0,0.0,0.6,1.0,0.0,1.0,0.0,1.12,0
5. Queen Of Soul,0.4,0.20512820512820512,0.02127659574468085,0.27,0.4,0.2,0.5,0.375,0.0,0.42857142857142855,0.5,0.5,0.0,0.4166666666666667,0.3333333333333333,0.0,0.3333333333333333,0.0,-0.09,0
6. Vogue's Choice,0.7142857142857143,0.3684210526315789,0.1111111111111111,0.43,0.71,0.24,0.8,0.6,0.75,0.0,0.6666666666666666,0.0,0.0,0.5,1.0,0.0,1.0,0.0,0.54,0
7. Mosquito,0.7142857142857143,0.35294117647058826,0.023809523809523808,0.14,0.71,0.14,0.8,0.7142857142857143,0.0,0.6666666666666666,1.0,1.0,0.0,0.75,0.6666666666666666,0.0,0.6666666666666666,0.0,-0.51,0
8. Real Danger,0.4,0.23529411764705882,0.5,0.27,0.4,0.21,0.0,0.3,0.5,0.125,0.14285714285714285,0.2,0.0,0.3333333333333333,1.0,0.0,0.6666666666666666,0.0,-0.37,1
9. Seminole Brave,0.47619047619047616,0.23809523809523808,0.01075268817204301,0.14,0.48,0.22,0.0,0.4,0.5,0.625,0.6666666666666666,0.75,0.0,0.5833333333333334,0.42857142857142855,0.0,0.3333333333333333,0.36363636363636365,0.5,1
10. Category Three,0.75,0.36363636363636365,0.037037037037037035,0.25,0.75,0.28,0.0,0.75,1.0,1.0,0.0,0.0,0.0,1.0,0.5,0.0,0.5,1.0,-0.54,1
11. Wednesday,0.5454545454545454,0.2916666666666667,0.019230769230769232,0.09,0.55,0.07,0.625,0.45454545454545453,0.5,0.4166666666666667,0.6666666666666666,0.42857142857142855,0.0,0.55,1.0,0.0,0.5,0.3333333333333333,-0.36,0
12. French Martini,1.0,1.0,0.07692307692307693,1.0,1.0,0.18,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,0
13. I'm Eugene,0.34615384615384615,0.2222222222222222,0.045454545454545456,0.12,0.35,0.0,0.5,0.3333333333333333,0.5,0.6666666666666666,0.5714285714285714,1.0,0.0,0.25,0.6666666666666666,0.0,0.6666666666666666,0.0,3.81,0
14. Mama Tembu,0.2857142857142857,0.1956521739130435,0.025,0.07,0.29,0.11,0.0,0.2857142857142857,0.14285714285714285,0.2,0.3333333333333333,0.5,0.0,0.2,0.5,0.0,0.5,0.0,0.29,0
15. Ninetyone Dwyer,0.36,0.24324324324324326,0.045454545454545456,0.08,0.36,0.0,0.0,0.46153846153846156,0.0,0.0,0.5,0.0,0.0,0.38095238095238093,0.3333333333333333,0.0,0.25,0.0,-0.61,0
1. Hot Zed,0.6153846153846154,0.21621621621621623,0.024390243902439025,0.31,0.62,0.12,0.7222222222222222,0.36363636363636365,0.0,0.6428571428571429,0.7142857142857143,0.6666666666666666,0.0,0.65,0.6,0.0,0.5,0.0,1.75,1
