name,career,last10,lwin,wins,places,tj,jh,twelveMonth,season,track,distance,trackDistance,firm,good,soft,heavy,wet,hclass,roi,is_winner
1. Double Spice,0.64,0.25,0.02,0.23,0.64,0.00,0.00,0.60,0.33,0.50,0.60,1.00,0.00,0.71,0.40,0.00,0.40,1.00,0.13,0.00
2. Glasgow Girl,0.39,0.17,0.06,0.21,0.39,0.00,0.00,0.14,0.00,0.17,0.00,0.00,0.00,0.40,0.42,0.00,0.38,0.20,0.43,0.00
3. Reign Of Fire,0.39,0.20,0.08,0.14,0.39,0.13,0.38,0.29,0.29,0.18,0.00,0.00,0.00,0.37,0.60,0.25,0.44,0.67,-0.57,0.00
4. Keytrade,0.37,0.33,0.50,0.16,0.37,0.08,0.50,0.60,0.50,0.20,0.17,0.00,0.00,0.41,0.00,0.00,0.00,0.00,0.47,1.00
5. Jedi Mind,0.25,0.16,0.01,0.19,0.25,0.14,0.20,0.00,0.00,0.00,0.33,0.00,0.00,0.20,0.20,1.00,0.33,0.25,-0.33,0.00
6. So Likable,0.33,0.31,0.50,0.17,0.33,0.31,0.80,0.38,1.00,0.00,0.38,0.00,0.00,0.40,0.00,0.00,0.00,0.00,-0.58,0.00
7. Success Play,0.38,0.25,0.07,0.14,0.38,0.09,1.00,0.31,0.33,0.29,0.29,0.00,0.00,0.42,0.38,0.00,0.33,0.50,-0.60,0.00
8. Requisition,0.38,0.26,0.25,0.13,0.38,0.13,0.44,0.57,0.67,0.41,0.00,0.00,0.00,0.45,0.15,0.50,0.20,0.56,0.17,0.00
9. Firesale,0.24,0.19,0.03,0.13,0.24,0.06,0.00,0.22,0.00,0.27,0.20,0.00,0.00,0.23,0.25,0.00,0.25,0.33,0.46,0.00
10. Fred Dag,0.40,0.19,0.06,0.13,0.40,0.16,0.41,0.18,0.00,0.27,0.25,0.00,0.00,0.38,0.40,1.00,0.50,0.00,-0.60,0.00
11. Sweet Tea,0.56,0.27,0.07,0.11,0.56,0.08,0.60,0.56,1.00,0.67,0.50,1.00,0.00,0.57,0.50,0.00,0.50,0.00,-0.78,1.00
12. Dadirra,0.41,0.26,0.04,0.06,0.41,0.03,0.80,0.50,0.75,0.33,0.00,0.00,0.00,0.43,0.33,0.00,0.33,0.67,-0.71,1.00
13. Hot Blooded,0.33,0.27,0.25,0.11,0.33,0.08,0.50,0.38,0.33,0.25,0.00,0.00,0.00,0.36,0.29,0.00,0.29,0.00,0.39,0.00
14. Sea Waif,0.42,0.20,0.02,0.09,0.42,0.10,0.50,0.45,0.00,0.20,0.86,1.00,0.00,0.46,0.29,0.00,0.29,0.00,-0.50,0.00
15. Cartanera,0.33,0.26,0.05,0.17,0.33,0.20,0.50,0.33,0.00,0.00,1.00,0.00,0.00,0.33,0.50,0.00,0.33,0.00,-0.48,1.00
16. Western Rhythm,0.33,0.23,0.25,0.10,0.33,0.23,1.00,0.25,0.33,0.22,0.29,0.00,0.00,0.33,0.33,0.00,0.33,0.00,-0.65,0.00
17e. Verdandi,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
18e. Ninetyone Dwyer,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1. Position Of Power,0.40,0.17,0.13,0.19,0.40,0.20,0.25,0.25,0.29,0.21,0.50,0.00,0.00,0.32,0.56,0.00,0.53,0.50,0.15,0.00
2. Pat's Got Sass,0.41,0.21,0.03,0.18,0.41,0.00,0.00,0.27,0.00,0.46,0.00,0.00,0.00,0.47,0.00,0.00,0.00,0.00,0.11,1.00
3. Our Norman,0.39,0.29,0.07,0.22,0.39,0.04,0.33,0.46,0.50,0.33,0.00,0.00,0.00,0.42,0.25,0.50,0.33,0.00,2.17,0.00
4. Constant Dreaming,0.60,0.26,0.03,0.30,0.60,0.14,0.00,0.60,0.00,0.60,0.00,0.00,0.00,0.67,0.00,0.00,0.00,0.00,0.36,0.00
5. Stellar Vista,0.77,0.35,0.09,0.31,0.77,0.20,0.80,0.67,1.00,0.80,0.00,0.00,0.00,0.90,0.33,0.00,0.33,0.00,0.54,0.00
6. Strike Now,0.73,0.38,0.03,0.27,0.73,0.27,0.00,0.73,0.50,0.67,0.60,0.67,0.00,0.78,0.50,0.00,0.50,0.00,-0.40,0.00
7. Stylax,0.47,0.24,0.50,0.27,0.47,0.12,0.57,0.50,0.75,0.67,1.00,1.00,0.00,0.57,0.25,0.50,0.38,0.00,0.18,0.00
8. Megazone,0.38,0.20,0.17,0.10,0.38,0.15,0.00,0.25,0.40,0.41,0.45,0.75,0.00,0.35,0.50,0.50,0.50,0.28,-0.18,1.00
9. The Great One,0.39,0.17,0.02,0.22,0.39,0.14,0.17,0.22,0.00,0.25,0.29,0.00,0.00,0.53,0.00,0.00,0.00,0.20,1.68,0.00
10. Castillo Del Lago,0.52,0.23,0.02,0.09,0.52,0.13,0.00,0.44,0.75,0.33,0.50,0.25,0.00,0.38,0.86,0.00,0.86,0.40,-0.61,1.00
11. Find Your Man,0.52,0.30,0.50,0.14,0.52,0.14,1.00,0.36,0.33,1.00,0.00,0.00,0.00,0.46,0.67,0.50,0.63,0.00,-0.43,0.00
12. Ground Braker,0.30,0.26,0.04,0.17,0.30,0.18,0.00,0.27,0.00,0.25,0.50,0.00,0.00,0.28,0.67,0.00,0.40,0.00,-0.29,0.00
